entry_id,line_id,date,account,debit,credit
JE-001,1,2026-09-04,5000,1200.00,0.00
JE-001,2,2026-09-04,2000,0.00,1200.00
JE-002,1,2026-09-08,5100,4500.00,0.00
JE-002,2,2026-09-08,2000,0.00,4500.00
JE-003,1,2026-09-11,5200,8900.00,0.00
JE-003,2,2026-09-11,2000,0.00,8900.00
JE-004,1,2026-09-19,5000,615.50,0.00
JE-004,2,2026-09-19,2000,0.00,615.50
JE-005,1,2026-09-13,2000,1200.00,0.00
JE-005,2,2026-09-13,1000,0.00,1200.00
JE-006,1,2026-09-21,2000,4500.00,0.00
JE-006,2,2026-09-21,1000,0.00,4500.00
JE-007,1,2026-09-23,2000,8900.00,0.00
JE-007,2,2026-09-23,1000,0.00,8900.00
JE-008,1,2026-09-02,1200,3200.00,0.00
JE-008,2,2026-09-02,4000,0.00,3200.00
JE-009,1,2026-09-06,1200,1750.00,0.00
JE-009,2,2026-09-06,4000,0.00,1750.00
JE-010,1,2026-09-26,1000,3200.00,0.00
JE-010,2,2026-09-26,1200,0.00,3200.00
JE-011,1,2026-09-29,1000,1700.00,0.00
JE-011,2,2026-09-29,1200,0.00,1700.00
JE-012,1,2026-09-25,6000,18400.00,0.00
JE-012,2,2026-09-25,1000,0.00,18400.00
